0,1
,elación con la Ley
7.520,
,
Descripción,
escripción,
,[GS-02] Mejorar el acceso al agua y el manejo hídrico
,edida
,
,"Generación de acceso a infraestructura de captación, conducción y\nalmacenamiento de agua, incorporar infraestructura de sistemas de\nriego y/o refuncionalizar o adecuar los existentes, promover y lograr un\nuso más eficiente del recurso hídrico y atender los daños por\ndisminución de caudales en los ríos y aumento de la evapotranspiración,\npara mejorar en forma sostenida el acceso al agua de familias\nproductoras agropecuarias, con foco en productores y productoras de la\nagricultura familiar, campesina e indígena, reconociendo que a las\nmujeres e infancias se les asigna mayoritariamente la tarea de provisión\ndel recurso. Las acciones específicas se llevan adelante mediante\nproyectos en territorio, financiamiento a organismos específicos y\nproductores, en articulación con organismos descentralizados y los\nestados subnacionales."
Descripción,
,escripción
,
,
,
,"Al 2030, 14.000 familias contarán con acceso al agua segura y un\nmanejo hídrico más eficiente."
Metas,
,etas
,
,"Nacional. Productores y productoras de la agricultura familiar,\ncampesina e indígena."
,lcance geográfico o
,oblacional
,
,Adaptación
,"daptación,"
,itigación o pérdidas
,daños
,
,"La medida aborda de forma directa el acceso al agua segura para la\npoblación rural dispersa y los riesgos relacionados a sequías y estrés\nhídrico que afectan las producciones y medios de vida de las\ncomunidades rurales de la agricultura familiar, campesina e indígena.\nEl fortalecimiento de los sistemas de captación, almacenamiento y\nriego para garantizar el acceso al recurso para consumo humano y el\nsostenimiento de distintas producciones, incrementa la resiliencia\nfrente al incremento proyectado de las temperaturas, la duración de\nlos días secos y la disminución de precipitaciones."
Riesgos climáticos asociados,
,iesgos climáticos
,sociados
,
,N/A
,educción estimada
e emisiones al 2030,
MtCO2e),
,
"Generación de acceso a infraestructura de captación, conducción y almacenamiento de agua, incorporar infraestructura de sistemas de riego y/o refuncionalizar o adecuar los existentes, promover y lograr un uso más eficiente del recurso hídrico y atender los daños por disminución de caudales en los ríos y aumento de la evapotranspiración, para mejorar en forma sostenida el acceso al agua de familias productoras agropecuarias, con foco en productores y productoras de la agricultura familiar, campesina e indígena, reconociendo que a las mujeres e infancias se les asigna mayoritariamente la tarea de provisión del recurso. Las acciones específicas se llevan adelante mediante proyectos en territorio, financiamiento a organismos específicos y productores, en articulación con organismos descentralizados y los estados subnacionales.",
mujeres e infancias se les asigna mayoritariamente la tarea de provisión,
del recurso.,
Metas,
etas,
Riesgos climáticos asociados,
iesgos climáticos,
sociados,
,"Secretaría de Agricultura, Ganadería y Pesca de la Nación:\n⠀Subsecretaría de Agricultura Familiar Campesina e Indígena\n(SSAFCI)\n⠀Dirección General de Programas y Proyectos Sectoriales y\nEspeciales (DIPROSE)\nNota: en algunos casos se cuenta con el apoyo del Instituto Nacional\nde Tecnología Agropecuaria (INTA) y de las Unidades Ejecutoras\nProvinciales (UEP)."
Autoridad de aplicación,
,utoridad de
,plicación
,
,"En implementación inicial.\nNota: Actualmente la medida tiene proyectos en ejecución en las\nprovincias de Buenos Aires, Mendoza, San Juan, Corrientes, Entre Ríos,\nNeuquén, Formosa, Chaco y Santiago del Estero y cuenta con 5\ninstrumentos en distintas instancias de implementación ejecutándose\ndesde 2015 al 2024."
Estado de implementación,
,stado de
,mplementación
,
,2015 - 2030
,eríodo de ejecución
,
,"USD 66.304.300\nNota: Los gastos correspondientes a los instrumentos Programa de\nInserción Económica de los Productores Familiares del Norte\nArgentino PROCANOR y Proyecto de Inclusión Socio-Económica en\nÁreas Rurales (PISEAR) se contabilizan en la medida “Mejorar la\ninfraestructura rural y comunitaria”, dado que no es posible desglosar\nqué porcentaje de éstos corresponde específicamente a\ninfraestructura para acceso al agua y manejo hídrico."
Estimación de gastos al 2030,
stimación de gastos,
l 2030,
,
,"⠀Tesoro Nacional\n⠀Fuentes internacionales\nNota: actualmente se cuenta con financiamiento de los siguientes\nfondos internacionales para cada instrumento con una contraparte\nnacional para: el Plan de Acceso al Agua para la Agricultura Familiar,\nCampesina e Indígena y el PISEAR, del Banco Internacional de\nReconstrucción y Fomento (BIRF);  el PROSAP IV, del Banco\nInteramericano de Desarrollo (BID); y el PROCANOR y el PRODECCA,\ndel Fondo Internacional de Desarrollo Agrícola (FIDA)."
Financiamiento,
inanciamiento,
,
Autoridad de aplicación,
utoridad de,
plicación,
Estado de implementación,
stado de,
mplementación,
Estimación de gastos al 2030,
stimación de gastos,
l 2030,
Financiamiento,
inanciamiento,
,"Actualmente la medida cuenta con los siguientes instrumentos, que\npodrán ir ampliándose o extendiéndose para dar cumplimiento a la\nmisma:\n⠀Plan de Acceso al Agua para la Agricultura Familiar, Campesina e\nIndígena AFCI-DIPROSE-INTA (PEI043) (Plazo 2020-2023)\n⠀Proyecto de Inclusión Socio-Económica en Áreas Rurales\n(PISEAR) Componente 2: Condiciones de vida en zonas rurales -\nSubcomponente de Inversión rural PISEAR/ BIRF-AR 8093 (Plazo\n2015-2022, con posibilidad de extensión)\n⠀Componentes de obras de riego de los proyectos de inversión\npública directa del Programa de Servicios Agrícolas Provinciales\n(PROSAP) IV (BID 3806) (Plazo 2017-2022, con posibilidad de\nextensión).\n⠀Proyectos Integrales (PI) del componente 3 Desarrollo Productivo\ndel Programa de Inserción Económica de los Productores\nFamiliares del Norte Argentino (PROCANOR) (Plazo 2017-2024)\n⠀Proyectos Integrales (PI) del Programa de Desarrollo de la Cadena\nCaprina (PRODECCA) (Plazo 2017-2023)"
Instrumentos y herramientas de implementación,
,nstrumentos y
,erramientas de
,mplementación
,
,"Necesidades:\n⠀Contar con mayor disponibilidad de los recursos humanos y\nmateriales para dar seguimiento a la implementación ambiental y\nsocial (a nivel de programa y proyectos) y posteriormente para\nevaluar la resiliencia de las familias productoras.\n⠀Fortalecer o conformar los consorcios, asociaciones u organismos\nprovinciales/municipales que serán los encargados de gestionar y\nmantener los sistemas de riego una vez finalizadas las obras.\n⠀Obtener fondos para extender los instrumentos hasta el 2030.\n⠀Sostener y fortalecer la articulación entre los distintos niveles y\norganismos de gobierno: se han identificado vinculaciones entre\nlos organismos de producción, agricultura, ganadería,\ninfraestructura o similares de los gobiernos provinciales, con las\nunidades ejecutoras provinciales (UEP), el INTA, entre otras.\n⠀Mejorar la comunicación con potenciales beneficiarios."
Necesidades y barreras,
,ecesidades y
,arreras
,
,Cantidad de familias alcanzadas por el proyecto
,ndicadores para el
onitoreo,
,
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
Necesidades y barreras,
ecesidades y,
arreras,
,"La medida es transformadora de las brechas de género ya que a través\nde la implementación de los Programas de Acción de Género (PAG) se\napunta a reducir las brechas de género existentes en la gestión y uso\ndel agua.\nCon la implementación de los PAG se busca que las mujeres\nproductoras y/o vecinas del área de influencia de cada proyecto,\npuedan acceder en igualdad de condiciones a la participación para la\nrealización de las obras y a las oportunidades que brindan los\nproyectos.\nTeniendo en cuenta el rol que ejercen niñas, niños y mujeres en el\naprovisionamiento de agua en los hogares rurales, la disminución de\nlos tiempos de gestión del recurso por parte de este grupo contribuiría\na mejorar sus condiciones de vida y habitabilidad.\nAsimismo, estudios realizados demuestran que este tipo de obras\nllegan a reducir hasta la mitad del tiempo que los hogares de la\nAgricultura Familiar dedican a la búsqueda y acarreo del agua, por lo\nque se contribuiría a mejorar la calidad de vida de las mujeres\ndedicadas a esta actividad.\nPor otro lado, los comités de evaluación de subproyectos incluyen\ncriterios con enfoque de género, tales como “aporte a la inclusión de\nmujeres” y “la viabilidad y sostenibilidad de las acciones previstas,\nespecialmente en términos ambientales y sociales”. Otro criterio\norientativo de priorización de subproyectos es “la cantidad de mujeres,\njóvenes y familias de pueblos originarios, dentro del total de\ndestinatarios del subproyecto”."
Análisis enfoque de género y diversidad,
,nálisis enfoque de
,énero y diversidad
,
,Medida que genera reducción del riesgo climático.
,nálisis enfoque de
,estión integral del
,iesgo
,
,"Medida que genera beneficios para la salud dado que mejora el\nabastecimiento de agua tanto para consumo, como para la producción\nde alimentos y mejorará la calidad de vida de las poblaciones."
Análisis enfoque de salud,
,nálisis enfoque de
,alud
,
,A definir
,nálisis enfoque de
,ransición justa
,
,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
,obeneficios entre
daptación y,
itigación,
,
Análisis enfoque de género y diversidad,
nálisis enfoque de,
énero y diversidad,
Análisis enfoque de salud,
nálisis enfoque de,
alud,
,"Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 21 y\nArtículo 22. Inc. b), c), y  d)."
,elación con la Ley
,
,
Descripción,
escripción,
Metas,
etas,
Alcance geográfico o poblacional,
lcance geográfico o,
oblacional,
Reducción estimada de emisiones al 2030 (MtCO2e),
educción estimada,
e emisiones al 2030,
MtCO2e),
,[GS-03] Impulsar la forestación
,edida
,
,"Aumento de la superficie forestada de coníferas, eucaliptos, salicáceas\ny otras especies (nativas y exóticas), sin hacer cambio de uso del suelo\nen ecosistemas de bosques nativos y con las correspondientes\nsalvaguardas ambientales como expresamente se establece en la ley\n25.080 y modificatorias. Además de ello, para la gestión de los\nbeneficios, los titulares deben obtener las aprobaciones ambientales\nprovinciales correspondientes, ubicarse acorde al ordenamiento\nterritorial de bosques nativos aprobado por ley provincial y previsto en\nla ley nacional 26.331, y desarrollarse mediante el uso de prácticas\nenmarcadas en criterios de sustentabilidad ambiental, económica y\nsocial."
Descripción,
,escripción
,
,"Al 2030, se aumenta de 1,38 millones hectáreas (2018) a 1,6 millones\nde hectáreas. Se prevé un aumento anual de 18.333 hectáreas."
Metas,
,etas
,
,"Nacional (220.000 Ha)\nNota: las zonas a forestar respetarán la zonificación establecida por el\nartículo 5 de la Ley N° 27.487 (actualización de Ley 25.080), en función\na criterios de sostenibilidad ambiental, económica y social, y con las\nsalvaguardas ambientales incluidas en dicha ley para evitar que este\ncambio de uso del suelo se dé sobre bosques nativos."
Alcance geográfico o poblacional,
,lcance geográfico o
,oblacional
,
,Mitigación
,"daptación,"
,itigación o pérdidas
,daños
,
,N/A
,iesgos climáticos
,sociados
,
,La medida contribuye con una superficie adicional a la de 2018 de\n220.000 ha que implica un incremento en la reducción de emisiones\nnetas de 3.8 MtCO2e en 2030. Valor preliminar sujeto a adecuación\nsegún validación de los supuestos considerados en la estimación.
Reducción estimada de emisiones al 2030 (MtCO2e),
,educción estimada
,e emisiones al 2030
,
,MtCO2e)
,
,
,Dirección Nacional de Desarrollo Foresto Industrial - Secretaría de
,utoridad de
,
La medida contribuye con una superficie adicional a la de 2018 de 220.000 ha que implica un incremento en la reducción de emisiones netas de 3.8 MtCO2e en 2030. Valor preliminar sujeto a adecuación según validación de los supuestos considerados en la estimación.,
Valor preliminar sujeto a adecuación,
según validación de los supuestos considerados en la estimación.,
aplicación,plicación
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
Necesidades y barreras,
ecesidades y,
arreras,
,"Agricultura, Ganadería y Pesca."
aplicación,plicación
,
,En implementación inicial
,stado de
,mplementación
,
,2018 - 2030
,eríodo de ejecución
,
,USD 123.485.190
,stimación de gastos
,l 2030
,
,Tesoro Nacional
,inanciamiento
,
,"⠀Ley 25.080, prórroga y modificación de Ley 27.487 de Inversiones\nForestales. La misma contempla la ejecución de Evaluaciones de\nImpacto Ambiental.\n⠀Programa de Sustentabilidad Ambiental y Seguros (PROSAS) de\nMAGyP y de la Superintendencia de Seguros del Ministerio de\nHacienda y Finanzas Públicas\n⠀Mesa de competitividad foresto-industrial: ámbito integrado por\nproductores, industrias y sindicatos del comercio de la madera, el\npapel y sus derivados, organismos del estado destinados al\ntrabajo conjunto en pos de la competitividad del sector foresto-\nindustrial y el aumento del empleo."
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
,
,Necesidades:\n⠀Mayor presupuesto que el actual para la Ley 25.080 de forma que\nel productor pueda contar con el apoyo no reintegrable para\nrealizar su actividad.\n⠀Desarrollo de incentivos económicos y fiscales para proyectos\nforesto-industriales que traccionen al sector primario.\n⠀Desarrollo de las capacidades para el monitoreo de la captura de\ncarbono en las plantaciones forestales y en los productos de la\nmadera recolectada.\n⠀Ordenamiento del territorio en zonas para forestar (cuencas\nforestales) a fin de promover la gestión estratégica y sostenible
Necesidades y barreras,
ecesidades y,
arreras,
,
,"de las plantaciones forestales.\n⠀Mejorar las estimaciones de las emisiones/absorciones que\ngeneraría el cambio en el uso del suelo promovido por esta\nmedida. Para esto es necesario conocer el uso previo a la\nforestación. Con estos datos, y siguiendo las Directrices de IPCC\n(2006), se ajustarán los cálculos de los stocks de carbono y sus\ndiferencias, derivados del cambio en el uso del suelo.\nBarreras:\n⠀Largo período de recuperación del capital invertido, de 10 a 30\naños según la especie plantada.\n⠀Incertidumbre sobre demanda y precio al momento de la cosecha.\n⠀Altos costos logísticos e infraestructura poco desarrollada."
,
,
,Cantidad de hectáreas forestadas
,ndicadores para el
,onitoreo
,
,Potencialmente transformadora de las brechas de género.
,nálisis enfoque de
,énero y diversidad
,
,Esta medida no aporta a la reducción de riesgos climáticos.
,nálisis enfoque de
,estión integral del
,iesgo
,
,"Medida que es neutra para la salud dado que no modifica\nsignificativamente los determinantes de la salud, ni positiva ni\nnegativamente. La forestación se realizará sin hacer cambio de uso del\nsuelo en ecosistemas de bosques nativos y con las correspondientes\nsalvaguardas ambientales entre ellas la ejecución de una evaluación de\nimpacto ambiental, la cual debiera ser considerando tanto la salud\nhumana como la de los ecosistemas de los que la población depende,\nfundamentalmente contemplando que no se alteren los ciclos\nhidrológicos."
Análisis enfoque de salud,
,
,
,
,nálisis enfoque de
,
,alud
,
,
,
,
,
,A definir
,nálisis enfoque de
,ransición justa
,
,No se identifican sinergias ni concesiones con el abordaje de los
,obeneficios entre
,
Análisis enfoque de salud,
nálisis enfoque de,
alud,
"Medida que es neutra para la salud dado que no modifica significativamente los determinantes de la salud, ni positiva ni negativamente. La forestación se realizará sin hacer cambio de uso del suelo en ecosistemas de bosques nativos y con las correspondientes salvaguardas ambientales entre ellas la ejecución de una evaluación de impacto ambiental, la cual debiera ser considerando tanto la salud humana como la de los ecosistemas de los que la población depende, fundamentalmente contemplando que no se alteren los ciclos hidrológicos.",
edida que es neutra para la salud dado que no modifica,
"ignificativamente los determinantes de la salud, ni positiva ni",
egativamente. La forestación se realizará sin hacer cambio de uso del,
uelo en ecosistemas de bosques nativos y con las correspondientes,
alvaguardas ambientales entre ellas la ejecución de una evaluación d,
"mpacto ambiental, la cual debiera ser considerando tanto la salud",
umana como la de los ecosistemas de los que la población depende,
undamentalmente contemplando que no se alteren los ciclo,
idrológicos.,
,riesgos climáticos asociados al sector.
,daptación y
,itigación
,
,Capítulo V: Medidas y Acciones Mínimas de Mitigación. Artículo 24.\nInc. f) y g).
,elación con la Ley
,
,
Medida,
edida,
Descripción,
escripción,
,[GS-04] Promover el manejo sostenible de los sistemas\nproductivos forestales
Medida,
,edida
,
,"Mejora del manejo sostenible de los sistemas productivos forestales,\ncontemplando acciones tanto al nivel de los emprendimientos, como a\nescala de cuenca o regional.\nEn el primer caso se promueve el uso de especies nativas de alto valor\nen forestaciones en macizos y para el enriquecimiento de bosque\nnativo. Además se otorga un beneficio económico adicional a los\nemprendimientos forestales que adopten o cuenten con\ncertificaciones de gestión forestal sostenible.\nEn el segundo, se apunta a llevar adelante un ordenamiento de los\npaisajes productivos forestales, zonificando las cuencas forestales en\nfunción de criterios de sostenibilidad ambiental, económica y social y,\ncomplementariamente, incorporar la dimensión climática con el objeto\nde realizar recomendaciones de manejo que consideren los escenarios\nclimáticos futuros.  Entre las posibles  acciones para disminuir los\nriesgos se pueden mencionar el desarrollo e incorporación de nuevos\nmateriales genéticos adaptados a esos escenarios, prácticas\nsustentables para prevenir incendios forestales y manejo silvícola para\nevitar o disminuir la incidencia de plagas, entre otras."
Descripción,
,escripción
,
,Al 2030:\n⠀Se aumenta en un 2% la superficie de plantaciones con\nespecies nativas.\n⠀Se cuenta con tres cuencas forestales identificadas y\nzonificadas  según criterios climáticos acordados a nivel\nprovincial.
Metas,
,etas
,
,Nacional. Producciones forestales.
,lcance geográfico o
,oblacional
,
,Adaptación y mitigación
,"daptación,"
,itigación o pérdidas
,daños
,
,"Esta medida aporta a la reducción de riesgos de degradación de los\necosistemas y de afectación de los medios de vida de la agricultura\nfamiliar, campesina e indígena, fundamentalmente en lo que refiere a"
,iesgos climáticos
sociados,
,
Metas,
etas,
,"incendios, degradación de suelos y cambios en la disponibilidad\nhídrica. La planificación adecuada de las forestaciones considerando\nproyecciones de cambio climático y el ordenamiento territorial a escala\nde cuenca, permite realizar previsiones para administrar\nequitativamente el recurso hídrico, evitar procesos de degradación de\nsuelos y evitar y/o controlar los incendios en plantaciones forestales\nque podrían extenderse afectando a ecosistemas nativos y medios de\nvida de la agricultura familiar, campesina e indígena."
,
,
,Con la información disponible al momento no se puede estimar la\nreducción de emisiones para esta medida en particular.
,educción estimada
,
,e emisiones al 2030
,
,MtCO2e)
,
,"Dirección Nacional de Desarrollo Foresto Industria - Secretaría de\nAgricultura, Ganadería y Pesca de la Nación"
,utoridad de
,plicación
,
,En implementación inicial
,stado de
,mplementación
,
,2023 - 2030
,eríodo de ejecución
,
,"USD 561.637\nNota: Según cotización 21/9/22 (81.386.910 de pesos argentinos\nrepresenta el costo de aumentar en un 2% las forestaciones con\nnativas (es decir, 670 ha nuevas sobre la base actual de 33.584 ha))."
Estimación de gastos al 2030,
,stimación de gastos
,l 2030
,
,Tesoro Nacional
,inanciamiento
,
,"⠀Incentivo económico adicional en un 10% a emprendimientos\nforestales que incorporen especies nativas\n⠀Incentivo económico adicional en un 10% a emprendimientos\nforestales que incorporen sistemas de certificación forestal\n⠀Ley 27.487 de Inversiones Forestales, prórroga y modificación de\nla Ley 25.080, y Resolución MAGyP 22/2021."
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
,
Con la información disponible al momento no se puede estimar la reducción de emisiones para esta medida en particular.,
Con la información disponible al momento no se puede estimar la,
reducción de emisiones para esta medida en particular.,
Estimación de gastos al 2030,
stimación de gastos,
l 2030,
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
,"Necesidades:\n⠀Obtención de financiamiento sostenido para su concreción.\n⠀Mejora de la articulación entre distintos actores y niveles de\ngobernanza y el fortalecimiento de capacidades.\n⠀Conformación de una red de ensayos de parcelas demostrativas\ndel enriquecimiento del bosque nativo;.\n⠀Disposición de material genético de especies nativas (semillas,\netc); capacitar a productores forestales.\n⠀Financiamiento para apoyar a que los pequeños productores\npuedan acceder a la certificación forestal y a los equipos\nprovinciales, y fortalecer las capacidades institucionales para\nmejorar la  información y los SIG para la implementación de la\nactividad.\n⠀Conformación de un equipo de trabajo que entienda de modelos\ny de la actividad forestal para realizar las proyecciones climáticas.\n⠀Estudio y recopilación de información y de trabajos previos para\ndefinir las amenazas, vulnerabilidades y riesgos.\nBarreras:\n⠀Acotado número de especies nativas con conocimiento actual\nsobre manejo silvícola.\n⠀Largos turnos de corta de más de 25 años.\n⠀Desconocimiento del manejo silvícola de la mayor parte de las\nespecies nativas, sus turnos de corta, rentabilidad, manejo de\nplagas y enfermedades.\n⠀Equipos provinciales con escaso personal para realizar el trabajo\ntécnico de zonificación.\n⠀Atraso en la definición de las cuencas forestales."
Necesidades y barreras,
,ecesidades y
,arreras
,
,⠀Porcentaje de la superficie de plantaciones con especies nativas;\n⠀Cantidad de cuencas forestales identificadas y zonificadas.
Indicadores para el monitoreo,
,ndicadores para el
,onitoreo
,
,Potencialmente transformadora de las brechas de género.
,nálisis enfoque de
énero y diversidad,
,
Necesidades y barreras,
ecesidades y,
arreras,
Indicadores para el monitoreo,
ndicadores para el,
onitoreo,
Análisis enfoque de salud,
nálisis enfoque de,
alud,
,Medida que genera reducción del riesgo climático.
,nálisis enfoque de
,estión integral del
,iesgo
,
,Medida que genera beneficios para la salud dado que promueve el uso\nde especies nativas y el enriquecimiento de bosque nativo evitando así\nel contacto entre reservorios naturales y personas que puede dar\norigen a enfermedades zoonóticas emergentes. Contribuye además a\nla mejora en las condiciones de producción de comunidades indígenas\ny campesinas.
Análisis enfoque de salud,
,nálisis enfoque de
,alud
,
,A definir
,nálisis enfoque de
,ransición justa
,
,Esta medida no requiere análisis de cobeneficios. Aporta a la\nadaptación y la mitigación.
,obeneficios entre
,daptación y
,itigación
,
,"Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 21 y\nArtículo 22. Inc. a), d) y h)."
,elación con la Ley
7.520,
,
Descripción,
escripción,
"Financiamiento del aumento de la producción ganadera extensiva, garantizar la seguridad alimentaria, fomentar las exportaciones y la capacidad y adecuación industrial en carnes, leches y sus subproductos. Se suscribió un acuerdo para la implementación de líneas de financiamiento. El foco de la mitigación es reducir la intensidad de GEIs (emisiones por kilogramo de res con hueso) por medio del aumento de la eficiencia del sistema de producción.",
F,
Metas,
etas,
Alcance geográfico o poblacional,
lcance geográfico o,
oblacional,
Autoridad de aplicación,
utoridad de,
plicación,
,[GS-05] Eficientizar la producción ganadera bovina de carne
,edida
,
,"Financiamiento del aumento de la producción ganadera extensiva,\ngarantizar la seguridad alimentaria, fomentar las exportaciones y la\ncapacidad y adecuación industrial en carnes, leches y sus\nsubproductos. Se suscribió un acuerdo para la implementación de\nlíneas de financiamiento. El foco de la mitigación es reducir la\nintensidad de GEIs (emisiones por kilogramo de res con hueso) por\nmedio del aumento de la eficiencia del sistema de producción."
Descripción,
,
,escripción
,
,"Al 2030, se incrementa 5 puntos porcentuales el destete y 20 kg el\npeso medio de faena a nivel nacional."
Metas,
,etas
,
,"Nacional\nNota: totalidad de los 230.000 productores ganaderos bovinos y a los\nactores vinculados a la producción primaria (veterinarios, agrónomos,\ntrabajadores rurales, etc.)."
Alcance geográfico o poblacional,
,lcance geográfico o
,oblacional
,
,Mitigación
,"daptación,"
,itigación o pérdidas
,daños
,
,N/A
,iesgos climáticos
sociados,
,
,El foco de la mitigación es reducir la intensidad de emisiones de GEIs\n(emisiones por kilogramo de res con hueso) por medio de la eficiencia\nde producción.\nCon la información disponible al momento no se puede estimar la\nreducción de  emisiones para esta medida en particular.
Reducción estimada de emisiones al 2030 (MtCO2e),
educción estimada,
e emisiones al 2030,
MtCO2e),
,
,"Subsecretaría de Ganadería y Producción animal, Secretaría de\nAgricultura, Ganadería y Pesca, Ministerio de Agricultura Ganadería y\nPesca"
Autoridad de aplicación,
utoridad de,
plicación,
,
Reducción estimada de emisiones al 2030 (MtCO2e),
educción estimada,
e emisiones al 2030,
MtCO2e),
Financiamiento,
inanciamiento,
Necesidades y barreras,
ecesidades y,
arreras,
,En implementación inicial
,stado de
,mplementación
,
,En ejecución-2030
,eríodo de ejecución
,
,USD 704.225.352
,stimación de gastos
l 2030,
,
,"Nota: implementación del Fondo Nacional de Desarrollo Productivo\n(FONDEP):  se articulará subsidiando a tasas de financiación de\ncréditos existentes en el Banco Nación y otras entidades bancarias\nprovinciales o a través de Aportes No reembolsables para la\nconstitución de fondos rotatorios provinciales como:\n⠀Crédito Bancarios a MIPYMEs o Cooperativas y Línea de Inversión\nGrandes Empresas.\n⠀Fondos rotatorios provinciales: para la constitución de los\nmismos, se realizarán aportes no reembolsables para el\nfinanciamiento de fondos rotatorios pre-existentes o constitución\nde nuevos fondos."
Financiamiento,
inanciamiento,
,
,⠀Plan GanAR (RESOL-2022-95-APN-MAGYP).\n⠀Comisión Nacional de Bienestar Animal en Especies Pecuarias\n(RESOL-2021-542-APN-PRES#SENASA).\n⠀Ley de prevención y control de la resistencia a los\nantimicrobianos (Ley 27680).\n⠀Programa Nacional de Vigilancia de la Resistencia Antimicrobiana\nen animales de consumo humano (Resolución Senasa 591/2015).
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
,
,Necesidad de fortalecer la adopción de tecnologías de insumos y\nprocesos por parte del productor en todas las etapas de la cadena de\nla carne bovina.\nBarreras:\n⠀Culturales: para la adopción de tecnologías en los sistemas\nproductivos de cría bovina.\n⠀Dificultad en la posibilidad de aumentar el peso medio de faena\nque responde a condiciones de mercado. Le siguen de tipo
Necesidades y barreras,
ecesidades y,
arreras,
,
Instrumentos y herramientas de implementación,
nstrumentos y,
erramientas de,
mplementación,
Análisis enfoque de salud,
nálisis enfoque de,
alud,
,"económicas y financieras, regulatorias y/o políticas, socio-\nculturales, de información, técnicas, de capacidades humanas y de\ndesarrollo científico y tecnológico."
,
,
,⠀Peso medio de faena\n⠀Porcentaje de destete\n⠀Emisiones por kilogramo de res con hueso
Indicadores para el monitoreo,
,ndicadores para el
,onitoreo
,
,No reportan impactos relativos al género.
,nálisis enfoque de
,énero y diversidad
,
,Esta medida no aporta a la reducción de riesgos climáticos.
,nálisis enfoque de
,estión integral del
,iesgo
,
,"Medida que es neutra para la salud dado que no modifica\nsignificativamente los determinantes de la salud, ni positiva ni\nnegativamente. La medida promueve el aumento de la producción\nganadera extensiva."
Análisis enfoque de salud,
,nálisis enfoque de
,alud
,
,A definir
,nálisis enfoque de
,ransición justa
,
,No se identifican sinergias ni concesiones con el abordaje de los\nriesgos climáticos asociados al sector.
,obeneficios entre
,daptación y
,itigación
,
,Capítulo V: Medidas y Acciones Mínimas de Mitigación. Artículo 24.\nInc. e) y f).
,elación con la Ley
7.520,
,
Indicadores para el monitoreo,
ndicadores para el,
onitoreo,
Descripción,
escripción,
,[GS-06] Reducir pérdidas y desperdicios de alimentos
,edida
,
,"Coordinación, propuesta e implementación de acciones y políticas\npúblicas, a los efectos de la prevención y la reducción de las Pérdida y\nDesperdicios de Alimentos (PDA) en la Argentina, creando valor para\nel sistema agroalimentario y la sociedad en su conjunto, en el marco\nde lo establecido por el Plan Nacional de Reducción de Pérdidas y\nDesperdicio de Alimentos. Se busca que las pérdidas y desperdicios se\ncapturen o recuperen como recursos e insumos del resultado de cada\netapa del ciclo de vida. Sobre este enfoque se utiliza la pirámide\nJerarquía de Recuperación de Alimentos para priorizar las medidas y\nprácticas de manejo y gestión con el siguiente orden: prevención y\nreducción en origen, recuperación para consumo humano,\nreutilización, reprocesado, reciclado, aprovechamiento para\ncompostaje o generación de energía, eliminación y disposición final."
Descripción,
,
,
,escripción
,
,
,
,
,
,
,
,"Al 2025:\n⠀Se reducen las pérdidas de alimentos entre un 10 y un 30% en\nlas cadenas de producción y suministro seleccionadas,\nincluidas las pérdidas posteriores a la cosecha,\n⠀Se reducen los desperdicios de alimentos entre un 10 y un\n30% per cápita en la venta al por menor, y\n⠀Se reducen entre un 5 y un 10% del desperdicio de alimentos a\nnivel de los consumidores."
Metas,
,etas
,
,Nacional
,lcance geográfico o
,oblacional
,
,Adaptación y mitigación
,"daptación,"
itigación o pérdidas,
daños,
,
,"La medida aborda riesgos de afectación en los medios de vida de\nproductores y productoras, principalmente frente a incrementos en\ntemperaturas, los cuales generan pérdidas en la calidad de los\nalimentos producidos, incrementos en el desperdicio por la dificultad\nde almacenamiento y, en algunos casos, disminución de los\nrendimientos."
Riesgos climáticos asociados,
iesgos climáticos,
sociados,
,
"Coordinación, propuesta e implementación de acciones y políticas públicas, a los efectos de la prevención y la reducción de las Pérdida y Desperdicios de Alimentos (PDA) en la Argentina, creando valor para el sistema agroalimentario y la sociedad en su conjunto, en el marco de lo establecido por el Plan Nacional de Reducción de Pérdidas y Desperdicio de Alimentos. Se busca que las pérdidas y desperdicios se capturen o recuperen como recursos e insumos del resultado de cada etapa del ciclo de vida. Sobre este enfoque se utiliza la pirámide Jerarquía de Recuperación de Alimentos para priorizar las medidas y prácticas de manejo y gestión con el siguiente orden: prevención y reducción en origen, recuperación para consumo humano, reutilización, reprocesado, reciclado, aprovechamiento para compostaje o generación de energía, eliminación y disposición final.",
", recuperación para consumo humano,",
"reutilización, reprocesado, reciclado, aprovechamiento para",
"compostaje o generación de energía, eliminación y disposición final.",
